step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
393,CASH_OUT,$221929.39,C1118808394,0.0,0.0,C904160865,10991118.38,11213047.77,0,0
588,TRANSFER,$404214.28,C347306755,,0.0,C1442056798,175932.11,580146.39,0,0
139,CASH_IN,$47242.09,C1340335151,456296.1,503538.2,C1195038477,279788.8,232546.71,0,0
308,CASH_OUT,$15743.08,C131895635,306282.75,290539.67,C1319567742,23865.79,39608.87,0,0
552,TRANSFER,$221077.97,C2136556787,221077.97,0.0,C926634161,,0.0,1,0
21,CASH_OUT,$54114.45,C728223727,96126.0,42011.55,C1853690531,39938.86,94053.31,0,0
228,CASH_OUT,$141024.79,C651683068,21119.0,,C1231985446,3564722.11,3705746.9,0,0
370,PAYMENT,$4274.5,C162483879,0.0,0.0,M1960009734,0.0,0.0,0,0
10,CASH_OUT,$1451.25,C733384903,0.0,0.0,C747869108,2021034.34,2022485.59,0,0
163,CASH_OUT,$207902.49,C1824851510,0.0,0.0,C1725226256,430370.45,638272.95,0,0
228,CASH_OUT,$67988.11,C1923188428,0.0,0.0,C473508971,78129.31,146117.42,0,0
12,PAYMENT,$11578.61,C942038452,0.0,0.0,M195318069,0.0,0.0,0,0
236,CASH_OUT,$107128.12,C1053615415,139.0,0.0,C1572075879,,,0,0
198,TRANSFER,$7197532.27,C470813600,,0.0,C931720815,0.0,0.0,1,0
157,PAYMENT,$10768.58,C1425492672,,0.0,M1779871038,0.0,0.0,0,0
436,CASH_OUT,$539658.73,C1985701449,,0.0,C1862889538,,539658.73,1,0
692,CASH_IN,$36606.66,C1926914560,4218412.56,4255019.22,C116615920,488277.47,451670.81,0,0
397,CASH_OUT,$417008.07,C1401006742,0.0,0.0,C1205778254,4813233.85,5230241.92,0,0
160,PAYMENT,$8362.58,C1917025116,0.0,0.0,M895710740,0.0,0.0,0,0
737,TRANSFER,$946705.53,C1524194171,946705.53,0.0,C357888969,,0.0,1,0
184,PAYMENT,$37018.58,C990455627,0.0,0.0,M186042626,0.0,0.0,0,0
259,PAYMENT,$9913.63,C919558493,0.0,0.0,M939708774,0.0,,0,0
403,PAYMENT,$7442.22,C652074106,0.0,0.0,M706658588,0.0,0.0,0,0
225,CASH_IN,$30683.0,C8817108,13940439.1,13971122.1,C1708912200,3130850.54,3100167.54,0,0
178,PAYMENT,$48887.66,C1573113364,0.0,0.0,M1762060886,0.0,0.0,0,0
379,TRANSFER,$99458.21,C1514527764,99458.21,0.0,C1947200265,0.0,0.0,1,0
236,CASH_IN,$44665.65,C2008526316,14385.0,59050.65,C1618659515,353258.45,308592.8,0,0
254,PAYMENT,$6151.61,C1652927250,16787.48,10635.86,M808481945,0.0,0.0,0,0
239,PAYMENT,$3280.42,C215027148,,56951.58,M1411880443,0.0,,0,0
261,CASH_OUT,$109956.39,C2100934341,542044.0,432087.61,C1871636573,13317465.78,13427422.18,0,0
550,CASH_IN,$513997.65,C1661183068,6444796.94,6958794.59,C1048578557,2733089.51,2219091.86,0,0
236,CASH_OUT,$170226.07,C1898868676,0.0,0.0,C1796311463,233682.04,403908.11,0,0
179,CASH_IN,$2993.93,C1354770354,9239686.9,9242680.83,C333471161,455523.33,452529.4,0,0
217,PAYMENT,$9793.38,C895251197,0.0,0.0,M1542438760,0.0,0.0,0,0
17,CASH_OUT,$243002.85,C1789772022,9988.0,0.0,C1136050999,1428745.57,1671748.43,0,0
375,TRANSFER,$667733.81,C1449311251,,0.0,C1975743671,0.0,0.0,1,0
396,PAYMENT,$3373.69,C877044718,0.0,0.0,M42242648,,,0,0
42,CASH_IN,$229797.95,C387020801,23587023.6,23816821.54,C963921707,393649.46,434133.03,0,0
323,PAYMENT,$12211.07,C1621811019,0.0,0.0,M2005672169,0.0,0.0,0,0
187,CASH_OUT,$77765.08,C1274553353,0.0,0.0,C791587740,,572975.01,0,0
544,CASH_OUT,$652749.37,C717894474,0.0,,C35014971,828463.31,1481212.69,0,0
201,CASH_OUT,$662276.78,C63997724,662276.78,,C2141524320,537420.76,1199697.54,1,0
324,CASH_OUT,$100381.28,C526772800,0.0,0.0,C467747032,395672.59,496053.88,0,0
229,CASH_OUT,$97101.59,C591191119,154050.0,56948.41,C1926538717,5223406.22,5320507.8,0,0
331,PAYMENT,$12465.09,C2090217928,15572.0,,M300696008,0.0,0.0,0,0
578,TRANSFER,$60633.76,C1782791756,60633.76,0.0,C2094676196,0.0,,1,0
181,CASH_OUT,$109093.01,C415454528,20668.0,0.0,C1518170371,0.0,109093.01,0,0
208,PAYMENT,$9438.97,C352012672,0.0,0.0,M1852003813,0.0,0.0,0,0
182,CASH_OUT,$173518.42,C2134605945,,76852.58,C1492025749,2432958.84,2606477.25,0,0
187,CASH_OUT,$148521.82,C1690623910,39.0,0.0,C283977131,139526.97,288048.8,0,0
351,CASH_OUT,$41267.58,C390702825,0.0,0.0,C1569870513,2605610.5,2646878.09,0,0
154,CASH_IN,$6283.66,C879268494,77998.0,84281.66,C774373710,53201.54,46917.88,0,0
236,PAYMENT,$1778.82,C2105360649,0.0,,M319470520,0.0,0.0,0,0
155,CASH_OUT,$152495.08,C49639422,1790.0,0.0,C1463644477,813869.75,966364.83,0,0
15,CASH_OUT,$168343.37,C92078368,111092.0,0.0,C1771352345,66131.99,234475.36,0,0
137,CASH_OUT,$52615.71,C501697855,21688.0,0.0,C1334272276,5129874.23,5182489.94,0,0
134,CASH_OUT,$275461.0,C589859430,0.0,0.0,C556764818,394778.62,670239.62,0,0
329,TRANSFER,$84312.29,C1386334187,84312.29,0.0,C250821807,,0.0,1,0
557,TRANSFER,$188844.13,C1958670415,,0.0,C1200309573,0.0,0.0,1,0
202,PAYMENT,$2891.31,C745465299,153.0,0.0,M480434368,0.0,0.0,0,0
164,CASH_OUT,$161553.22,C2132962362,25561.0,0.0,C1193238068,277123.33,,0,0
378,TRANSFER,$165718.56,C1169452593,0.0,0.0,C168277181,715965.39,881683.95,0,0
33,PAYMENT,$10744.01,C1017335803,15622.0,4877.99,M2022233010,0.0,0.0,0,0
278,TRANSFER,$519794.03,C710839443,10550.0,0.0,C1678641989,0.0,519794.03,0,0
532,TRANSFER,$254719.63,C1828919793,254719.63,0.0,C1458046968,0.0,0.0,1,0
373,CASH_OUT,$89938.62,C2093533985,0.0,0.0,C803818081,360781.25,450719.87,0,0
