Sample,size1,size2,size3,density1,density2,density3
X12558,0.696,2.69,6.38,41.8,17.18,3.9
X14728,0.636,2.3,5.14,38.1,12.73,3.89
X15468,0.841,2.85,5.2,37.6,13.58,3.98
X21364,0.609,2.13,4.62,34.2,11.12,4.02
X23671,0.684,2.16,4.87,36.4,12.24,3.92
X24055,0.762,2.81,6.36,38.1,13.28,3.89
X24905,0.552,2.34,5.03,41.3,16.71,3.86
X25917,0.501,2.17,5.09,,,
X27871,0.619,2.11,5.13,,,
X28690,0.61,2.1,4.18,35,12.15,3.86
X31385,0.532,2.09,4.93,,,
X31813,0.738,2.29,5.47,,,
X32807,0.779,2.62,5.59,,,
X33943,0.537,2.23,5.41,35.2,11.34,3.99
X35035,0.702,2.05,5.1,34.2,10.54,4.02
X39223,0.768,2.51,5.09,34.9,12.55,3.9
X40503,0.714,2.56,6.03,35.6,12.2,4.02
X41400,0.621,2.42,5.1,38.7,14.27,3.98
X42988,0.726,2.11,4.69,37.1,13.14,3.98
X44749,0.698,2.36,5.4,36.6,12.16,4.01
X45295,,,,38.1,13.34,3.89
X46965,0.759,2.47,4.83,38.7,14.83,3.89
X49666,0.535,2.13,5.23,,,
X50678,0.716,2.29,5.45,37.3,13.7,3.92
X52894,0.635,2.08,4.94,,,
X53925,0.598,2.12,4.69,37.9,13.45,3.78
X54254,0.7,2.47,5.22,38.8,14.72,3.92
X54272,0.957,2.96,7.37,36.2,13.38,4.2
X54394,0.759,2.66,5.36,35.2,12.19,3.98
X55408,0.661,2.1,4.27,,,
X56952,0.646,2.38,4.51,40.1,15.68,3.86
X57095,0.662,2.34,4.71,35,12.37,3.9
X57128,0.749,2.43,5.16,37.3,13.04,3.92
X61870,0.598,2.21,4.9,,,
X61888,0.619,2.59,5.81,,,
X72736,0.693,2.05,5.02,39.6,15.55,3.94
